placename	count
Jabalya	216
Bayt Lahya	41
Jabalia	208
Bayt Hanun	61
Khan Younis	581
An Nusayrat	98
Al Burayj	47
Rafah	1406
Bani Suhayla	5
Nuseirat	98
Bureij	47
Al Qararah	3
Abasan al Kabirah	14
Az Zuwaydah	0
Maghazi	106
Shukat as Sufi	0
Khuza'ah	0
Al Mughraqah	0
Deir El-Balah	226
An Nasr	66
Abasan al Jadidah	0
Al Fukhkhari	0
Wadi as Salqa	0
Juhr ad Dik	0
Umm an Nasr	0
Al Musaddar	0
Al Mawasi	2
Al-Shifa Hospital	362
Umm Jarrah	0
Musabbih	0
Ard Rafah	0
Al Qubbah	0
Al Junaynah	0
Al Ghabah	0
Al Filahah	0
Abu Himar	0
Abu 'Awdah	0
Arab al Qila'i	0
Abu Mu'ammar	0
Umm al Kilab	0
Saknat az Zarqa'	0
Rafiah Yam	0
Qizan an Najjar	0
Qa' al Qurayn	0
Nahal Qatif	0
Umm Kamil	0
An Nazlah	0
Al Mashahirah	0
Qa' al Kharabah	0
Daribat ash Shaykh Hammuda	0
Izbat Bayt Hanun	0
Arab Maslakh Bayt Lahya	0
Madinat al 'Awdah	0
As Surayij	0
Az-Zawayda	4
Khuza'a	0
al Fukhari	0
Shokat as-Sufi	1
Al-Mughraqa	2
Bani Suhela	10
Abasan al-Saghira	3
Al-Zahra'	1
Khirbat al-Adas	0
Al Qaryah as Suwaydiyah	0
Al Katibah	0
Al Amal	2
Atatra	0
Remal	27
At Turkman	0
Az Zaytun	0
As Sabra	0
Al Fawayidah	0
Ash Shaykh 'Ijlin	0
Midan Filastin	0
Ar Rimal al Janubi	0
Ar Rimal ash Shamali	0
An Nasr ash Sharqi	0
An Nasr al Gharbi	0
Ash Shaykh Radwan	0
Ad Daraj	0
At Tuffah	0
Al Jadidah	0
Maydan ash Shuja'iyah	0
Al Madinah al Qadimah	0
Al Mu'tarid	0
Al Mintaqah as Sina'iyah	0
Ar Rasm	0
Al Mattayin	0
Al Harah ash Sharqiyah	0
Abu Asad	0
Abu Sittah	9
Hamadah	1
Tunis	89
Al Masihi	0
Al 'Amrah	0
Al Brawk	0
Abu Fayyad	0
Umran	0
Al Qata'ah	0
Al Hakar	0
Al Hadabah	0
Al Farsh	0
Umm al 'Azban	0
Abu 'Arif	0
Bisharah	0
Qa'ud	0
Al Baldah al Qadimah	0
Al Mu'askar	1
Ash Shaykh Nasir	0
Markaz al Madinah	1
Batn as Samin	0
Jurat al Lut	0
Ma'n	0
Qa' al Qarin	0
Al Manarah	0
Qizan	1
Abu Rashwan	0
Hijazi	8
Tall az Zu'rub	0
Hawd Ji	0
Hawd Waw	6
Yibna	0
Qishtah	0
Al Barazil	0
As Salam	0
Al-Azhar University	6
Al-Aqsa University	5
Bi'r Zawalan	0
Bi'r Abu Thabit	0
Gaza	18722
Gaza Strip	18722
Gaza City	18801
